Persona;Oficio
Juan Antonio Blázquez;1
Francisco Velad;2
Joaquín del Moral y Beristain;3
Domingo del Moral y Beristain;4
fray Bartolomé Valentín;5
Juan del Moral y Beristain;5
José Díaz de Guitian;1
Nicolás Fernández del Castillo;1
Lorenzo Careu;1
Sánchez y Cueto;1
María Justa Blázquez;99
Andrés del Moral y Beristain;6
Isidro Marín Bullón;5
Jerónimo Díaz;99
Manuela Castellanos;99
María Beristain;99
José Ruiz de León;5
Francisco Maldonado;99
Capitán de la valandra;7
Santiago de Herrera;99
Francisco de Obregón;99
Juan Antonio Torremocha Granhero;8
Juan Valentín de Villanueva;9
Perdro Sáez de Santa María;99
Gaspar Sáez Rico;99
Juan de Zanzena;10
Pedro Ortiz de Letona;11
