Emisor;Recpetor;Lugar de emisión;Lugar de recepción;Fecha
Luisa Blázquez;Juan Antonio Blázquez;1. Cáceres;1. La Habana;1. 1733-10-31
Jerónimo Díaz;Juan Antonio Blázquez;2. Tehuacán;1. La Habana;2. 1733-12-14
Domingo del Moral y Beristain;Juan Antonio Blázquez;3. Hacienda Carnero;1. La Habana;3. 1733-12-16
María Beristain;Juan Antonio Blázquez;2. Tehuacán;1. La Habana;4. 1733-12-29
Domingo del Moral y Beristain;Juan Antonio Blázquez;2. Tehuacán;1. La Habana;5. 1734-1-3
Andrés del Moral y Beristain;Juan Antonio Blázquez;2. Tehuacán;1. La Habana;6. 1734-1-9
Joaquín del Moral y Beristain;Juan Antonio Blázquez;4. Hacienda Sta. Cruz;1. La Habana;7. 1734-1-28
Domingo del Moral y Beristain;Juan Antonio Blázquez;3. Hacienda Carnero;1. La Habana;8. 1734-2-16
Juan del Moral y Beristain;Juan Antonio Blázquez;5. Orizaba;1. La Habana;8. 1734-2-16
José Ruiz de León;Juan Antonio Blázquez;6. Puebla;1. La Habana;9. 1734-2-17
Domingo del Moral y Beristain;Juan Antonio Blázquez;2. Tehuacán;1. La Habana;10. 1734-3-1
Joaquín del Moral y Beristain;Juan Antonio Blázquez;4. Hacienda Sta. Cruz;1. La Habana;10. 1734-3-1
Joaquín del Moral y Beristain;Juan Antonio Blázquez;4. Hacienda Sta. Cruz;1. La Habana;10. 1734-3-1
Domingo del Moral y Beristain;Juan Antonio Blázquez;2. Tehuacán;1. La Habana;11. 1734-4-6
Juan del Moral y Beristain;Juan Antonio Blázquez;5. Orizaba;1. La Habana;12. 1734-4-16
Juan del Moral y Beristain;Luis Blázquez;5. Orizaba;1. La Habana;12. 1734-4-16
Domingo del Moral y Beristain;Juan Antonio Blázquez;2. Tehuacán;1. La Habana;13. 1734-4-18
María Beristain;Juan Antonio Blázquez;2. Tehuacán;1. La Habana;13. 1734-4-18
Domingo del Moral y Beristain;Juan Antonio Blázquez;2. Tehuacán;2. Cáceres;14. 1734-11-12
Joaquín del Moral y Beristain;Juan Antonio Blázquez;4. Hacienda Sta. Cruz;2. Cáceres;15. 1734-11-15
Juan Antonio Blázquez;Domingo del Moral y Beristain;1. Cáceres;3. México;16. 1735-5-14
Antonio Nogales;Juan Antonio Blázquez;6. Puebla;2. Cáceres;17. 1735-12-23
Joaquín del Moral y Beristain;Juan Antonio Blázquez;4. Hacienda Sta. Cruz;2. Cáceres;18. 1736-10-9
Joaquín del Moral y Beristain;Juan Antonio Blázquez;2. Tehuacán;2. Cáceres;19. 1737-3-11
Domingo del Moral y Beristain;Juan Antonio Blázquez;2. Tehuacán;2. Cáceres;20. 1738-4-20
Domingo del Moral y Beristain;Juan Antonio Blázquez;2. Tehuacán;2. Cáceres;21. 1738-7-31
Andrés del Moral y Beristain;Juan Antonio Blázquez;2. Tehuacán;2. Cáceres;22. 1738-8-3
Juan del Moral y Beristain;Juan Antonio Blázquez;5. Orizaba;2. Cáceres;23. 1739-1-3
Domingo del Moral y Beristain;Juan Antonio Blázquez;6. Puebla;2. Cáceres;24. 1739-1-13
Domingo del Moral y Beristain;Juan Antonio Blázquez;2. Tehuacán;2. Cáceres;25. 1739-9-10
Joaquín del Moral y Beristain;Juan Antonio Blázquez;2. Tehuacán;2. Cáceres;26. 1740-6-6
Juan del Moral y Beristain;Juan Antonio Blázquez;2. Tehuacán;2. Cáceres;27. 1740-6-7
Juan del Moral y Beristain;Juan Antonio Blázquez;2. Tehuacán;2. Cáceres;28. 1740-7-17
Domingo del Moral y Beristain;Juan Antonio Blázquez;2. Tehuacán;2. Cáceres;29. 1740-7-18
Domingo del Moral y Beristain;Juan Antonio Blázquez;2. Tehuacán;2. Cáceres;30. 1740-8-30
Juan del Moral y Beristain;Juan Antonio Blázquez;2. Tehuacán;2. Cáceres;31. 1741-3-20
Antonio Nogales;Juan Antonio Blázquez;6. Puebla;2. Cáceres;32. 1741-4-2
Joaquín del Moral y Beristain;Juan Antonio Blázquez;2. Tehuacán;2. Cáceres;33. 1741-5-1
Juan del Moral y Beristain;Juan Antonio Blázquez;2. Tehuacán;2. Cáceres;34. 1741-5-10
Domingo del Moral y Beristain;Juan Antonio Blázquez;7. Hacienda de Chapultepec;2. Cáceres;35. 1741-10-25
Joaquín del Moral y Beristain;Juan Antonio Blázquez;4. Hacienda Sta. Cruz;2. Cáceres;36. 1741-11-9
Domingo del Moral y Beristain;Juan Antonio Blázquez;2. Tehuacán;2. Cáceres;37. 1742-5-23
Antonio Nogales;Juan Antonio Blázquez;6. Puebla;2. Cáceres;38. 1743-10-6
Domingo del Moral y Beristain;Juan Antonio Blázquez;2. Tehuacán;2. Cáceres;39. 1743-12-26
Domingo del Moral y Beristain;Juan Antonio Blázquez;2. Tehuacán;2. Cáceres;40. 1744-2-10
Domingo del Moral y Beristain;Guitian o Careu;2. Tehuacán;4. Cádiz;40. 1744-2-10
Joaquín del Moral y Beristain;Juan Antonio Blázquez;4. Hacienda Sta. Cruz;2. Cáceres;41. 1744-2-15
Ana María del Moral;María Justa Blázquez;4. Hacienda Sta. Cruz;2. Cáceres;41. 1744-2-15
Isidro Marín Bullón;Juan Antonio Blázquez;2. Tehuacán;2. Cáceres;42. 1745-8-28
Andrés del Moral y Beristain;Juan Antonio Blázquez;2. Tehuacán;2. Cáceres;43. 1745-9-15
Joaquín del Moral y Beristain;Juan Antonio Blázquez;2. Tehuacán;2. Cáceres;44. 1745-9-16
Domingo del Moral y Beristain;Isidro Marín Bullón;2. Tehuacán;5. León (Nicaragua);45. 1746-2-4
Domingo del Moral y Beristain;Juan Antonio Blázquez;2. Tehuacán;2. Cáceres;46. 1746-3-9
Domingo del Moral y Beristain;Matías Jacinto Marín Bullón;2. Tehuacán;2. Cáceres;46. 1746-3-9
Isidro Marín Bullón;Padres y hermanos de Isidro Marín Bullón;8. León (Nicaragua);2. Cáceres;47. 1746-5-30
Andrés del Moral y Beristain;Juan Antonio Blázquez;2. Tehuacán;2. Cáceres;48. 1748-2-21
Andrés del Moral y Beristain;Matías Jacinto Marín Bullón;2. Tehuacán;2. Cáceres;48. 1748-2-21
