ID; Label
1; Juan Antonio Blázquez
2; Francisco Velad
3; Joaquín Del Moral y Beristain
4; Domingo Del Moral y Beristain
5; fray Bartolomé Valentín
6; Juan Del Moral y Beristain
7; José Díaz de Guitian
8; Nicolás Fernández del Castillo
9; Lorenzo Careu
10; Sánchez y Cueto
11; María Justa Blázquez
12; Andrés Del Moral y Beristain
13; Isidro Marín Bullón
14; Jerónimo Díaz
15; Manuela Castellanos
16; María Beristain
17; José Ruiz de León
18; Francisco Maldonado
19; Capitán de la valandra
20; Santiago de Herrera
21; Francisco de Obregón
22; Juan Antonio Torremocha Granhero
23; Juan Valentín de Villanueva
24; Pedro Sáez de Santa María
25; Gaspar Sáez Rico
26; Juan de Zanzena
27; Pedro Ortiz de Letona
