Persona que ayuda;Persona que recibe ayuda;Relación;Formas de ayuda
Francisco Velad;Juan Antonio Blázquez;1. Contacto comercial;1. Canal de transmisión para asegurar la correspondencia
Francisco Velad;Domingo del Moral y Beristain;1. Contacto comercial;1. Canal de transmisión para asegurar la correspondencia
Francisco Velad;Juan del Moral y Beristain;1. Contacto comercial;1. Canal de transmisión para asegurar la correspondencia
Francisco Velad;Andrés del Moral y Beristain;1. Contacto comercial;1. Canal de transmisión para asegurar la correspondencia
Francisco Velad;Joaquín del Moral y Beristain;1. Contacto comercial;1. Canal de transmisión para asegurar la correspondencia
Capitán de la valandra;Juan Antonio Blázquez;2. Conocido;1. Canal de transmisión para asegurar la correspondencia
Santiago de Herrera;Juan Antonio Blázquez;2. Conocido;1. Canal de transmisión para asegurar la correspondencia
José Díaz de Guitian;Juan Antonio Blázquez;1. Contacto comercial;1. Canal de transmisión para asegurar la correspondencia
Juan de Zanzena;Juan Antonio Blázquez;2. Conocido;1. Canal de transmisión para asegurar la correspondencia
Lorenzo Careu;Domingo del Moral y Beristain;1. Contacto comercial;1. Canal de transmisión para asegurar la correspondencia
José Díaz de Guitian;Domingo del Moral y Beristain;1. Contacto comercial;1. Canal de transmisión para asegurar la correspondencia
Francisco de Obregón;Juan Antonio Torremocha Granhero;2. Conocido;1. Canal de transmisión para asegurar la correspondencia
Pedro Ortiz de Letona;Isidro Marín Bullón;3. Vecino de Guatemala;1. Canal de transmisión para asegurar la correspondencia
Joaquín del Moral y Beristain;Juan Antonio Blázquez;4. Familia;2. Enviar regalos, comestibles, encargos, mercancia o dinero
Juan Antonio Blázquez;Domingo del Moral y Beristain;4. Familia;2. Enviar regalos, comestibles, encargos, mercancia o dinero
Domingo del Moral y Beristain;Juan Antonio Blázquez;4. Familia;2. Enviar regalos, comestibles, encargos, mercancia o dinero
Juan del Moral y Beristain;Juan Antonio Blázquez;4. Familia;2. Enviar regalos, comestibles, encargos, mercancia o dinero
Joaquín del Moral y Beristain;María Justa Blázquez;4. Familia;2. Enviar regalos, comestibles, encargos, mercancia o dinero
